"S05_START ""export"
"S05_PREPARE ""Hqg_v3_F1_LODelta_1"" leaves="90
"S05_COMPACT_RATIONAL ""F1_LODelta"" leaves="81
"S05_COEFFICIENT_START ""F1_Delta"" "18" leaves="2353
"S05_COEFFICIENT_START ""F1_Delta"" "19" leaves="14
"S05_COEFFICIENT_START ""F1_Delta"" "20" leaves="2200
"S05_COEFFICIENT_START ""F1_Delta"" "21" leaves="1264
"S05_COEFFICIENT_START ""F1_Delta"" "22" leaves="638
"S05_COEFFICIENT_START ""F1_Delta"" "23" leaves="157
"S05_COEFFICIENT_START ""F1_Delta"" "24" leaves="82
"S05_COEFFICIENT_START ""F1_Delta"" "25" leaves="445
"S05_COEFFICIENT_START ""F1_Delta"" "26" leaves="93
"S05_COEFFICIENT_START ""F1_Delta"" "27" leaves="156
"S05_COEFFICIENT_START ""F1_Delta"" "28" leaves="442
"S05_COEFFICIENT_START ""F1_Delta"" "29" leaves="82
"S05_COEFFICIENT_START ""F1_Delta"" "30" leaves="82
"S05_COEFFICIENT_START ""F1_Delta"" "31" leaves="82
"S05_COEFFICIENT_START ""F1_Delta"" "32" leaves="5379
"S05_COEFFICIENT_START ""F1_Delta"" "33" leaves="1734
"S05_COEFFICIENT_START ""F1_Delta"" "34" leaves="1196
"S05_COEFFICIENT_START ""F1_Delta"" "35" leaves="413
"S05_COEFFICIENT_START ""F1_Delta"" "36" leaves="41
"S05_COEFFICIENT_START ""F1_Delta"" "37" leaves="1140
"S05_COEFFICIENT_START ""F1_Delta"" "38" leaves="12
"S05_COEFFICIENT_START ""F1_Delta"" "39" leaves="12
"S05_COEFFICIENT_START ""F1_Delta"" "40" leaves="2015
"S05_COEFFICIENT_START ""F1_Delta"" "41" leaves="130
"S05_COEFFICIENT_START ""F1_Delta"" "42" leaves="213
"S05_COEFFICIENT_START ""F1_Delta"" "43" leaves="885
"S05_COEFFICIENT_START ""F1_Delta"" "44" leaves="34
"S05_COEFFICIENT_START ""F1_Delta"" "45" leaves="15
"S05_COEFFICIENT_START ""F1_Delta"" "46" leaves="171
"S05_COEFFICIENT_START ""F1_Delta"" "47" leaves="261
"S05_COEFFICIENT_START ""F1_Delta"" "48" leaves="15
"S05_COEFFICIENT_START ""F1_Delta"" "49" leaves="14
"S05_COEFFICIENT_START ""F1_Delta"" "50" leaves="338
"S05_COEFFICIENT_START ""F1_Delta"" "51" leaves="135
"S05_COEFFICIENT_START ""F1_Delta"" "52" leaves="2352
"S05_COEFFICIENT_START ""F1_Delta"" "53" leaves="2306
"S05_COEFFICIENT_START ""F1_Delta"" "54" leaves="156
"S05_COEFFICIENT_START ""F1_Delta"" "55" leaves="82
"S05_COEFFICIENT_START ""F1_Delta"" "56" leaves="572
"S05_COEFFICIENT_START ""F1_Delta"" "57" leaves="123
"S05_COEFFICIENT_START ""F1_Delta"" "58" leaves="157
"S05_COEFFICIENT_START ""F1_Delta"" "59" leaves="442
"S05_COEFFICIENT_START ""F1_Delta"" "60" leaves="82
"S05_COEFFICIENT_START ""F1_Delta"" "61" leaves="581
"S05_COEFFICIENT_START ""F1_Delta"" "62" leaves="135
"S05_COEFFICIENT_START ""F1_Delta"" "63" leaves="1264
"S05_COEFFICIENT_START ""F1_Delta"" "64" leaves="1216
"S05_COEFFICIENT_START ""F1_Delta"" "65" leaves="157
"S05_COEFFICIENT_START ""F1_Delta"" "66" leaves="82
"S05_COEFFICIENT_START ""F1_Delta"" "67" leaves="477
"S05_COEFFICIENT_START ""F1_Delta"" "68" leaves="123
"S05_COEFFICIENT_START ""F1_Delta"" "69" leaves="157
"S05_COEFFICIENT_START ""F1_Delta"" "70" leaves="442
"S05_COEFFICIENT_START ""F1_Delta"" "71" leaves="82
"S05_COEFFICIENT_START ""F1_Delta"" "72" leaves="327
"S05_COEFFICIENT_START ""F1_Delta"" "73" leaves="2403
"S05_COEFFICIENT_START ""F1_Delta"" "74" leaves="1129
"S05_COEFFICIENT_START ""F1_Delta"" "75" leaves="2411
"S05_COEFFICIENT_START ""F1_Delta"" "76" leaves="2246
"S05_COEFFICIENT_START ""F1_Delta"" "77" leaves="1696
"S05_COEFFICIENT_START ""F1_Delta"" "78" leaves="1306
"S05_COEFFICIENT_START ""F1_Delta"" "79" leaves="1611
"S05_COEFFICIENT_START ""F1_Delta"" "80" leaves="1496
"S05_COEFFICIENT_START ""F1_Delta"" "81" leaves="6586
"S05_COEFFICIENT_START ""F1_Delta"" "82" leaves="152
"S05_COEFFICIENT_START ""F1_Delta"" "83" leaves="2181
"S05_COEFFICIENT_START ""F1_Delta"" "84" leaves="4177
"S05_COEFFICIENT_START ""F1_Delta"" "85" leaves="14
"S05_COEFFICIENT_START ""F1_Delta"" "86" leaves="1809
"S05_COEFFICIENT_START ""F1_Delta"" "87" leaves="1527
"S05_COEFFICIENT_START ""F1_Delta"" "88" leaves="12
"S05_COEFFICIENT_START ""F1_Delta"" "89" leaves="157
"S05_COEFFICIENT_START ""F1_Delta"" "90" leaves="2980
"S05_COEFFICIENT_START ""F1_Delta"" "91" leaves="1204
"S05_COEFFICIENT_START ""F1_Delta"" "92" leaves="82
"S05_COEFFICIENT_START ""F1_Delta"" "93" leaves="1795
"S05_COEFFICIENT_START ""F1_Delta"" "94" leaves="1672
"S05_COEFFICIENT_START ""F1_Delta"" "95" leaves="445
"S05_COEFFICIENT_START ""F1_Delta"" "96" leaves="93
"S05_COEFFICIENT_START ""F1_Delta"" "97" leaves="156
"S05_COEFFICIENT_START ""F1_Delta"" "98" leaves="442
"S05_COEFFICIENT_START ""F1_Delta"" "99" leaves="2764
"S05_COEFFICIENT_START ""F1_Delta"" "100" leaves="2793
"S05_COEFFICIENT_START ""F1_Delta"" "101" leaves="82
"S05_COEFFICIENT_START ""F1_Delta"" "102" leaves="10769
"S05_COEFFICIENT_START ""F1_Delta"" "103" leaves="1970
"S05_COEFFICIENT_START ""F1_Delta"" "104" leaves="2295
"S05_COEFFICIENT_START ""F1_Delta"" "105" leaves="2360
"S05_COEFFICIENT_START ""F1_Delta"" "106" leaves="3106
"S05_COEFFICIENT_START ""F1_Delta"" "107" leaves="1185
"S05_COEFFICIENT_START ""F1_Delta"" "108" leaves="1795
"S05_COEFFICIENT_START ""F1_Delta"" "109" leaves="1672
"S05_COEFFICIENT_START ""F1_Delta"" "110" leaves="2904
"S05_COEFFICIENT_START ""F1_Delta"" "111" leaves="221
"S05_COEFFICIENT_START ""F1_Delta"" "112" leaves="2126
"S05_COEFFICIENT_START ""F1_Delta"" "113" leaves="613
"S05_COEFFICIENT_START ""F1_Delta"" "114" leaves="4835
"S05_COEFFICIENT_START ""F1_Delta"" "115" leaves="2831
"S05_COEFFICIENT_START ""F1_Delta"" "116" leaves="891
"S05_COEFFICIENT_START ""F1_Delta"" "117" leaves="87
"S05_COEFFICIENT_START ""F1_Delta"" "118" leaves="99
"S05_COEFFICIENT_START ""F1_Delta"" "119" leaves="557
"S05_COEFFICIENT_START ""F1_Delta"" "120" leaves="277
"S05_COEFFICIENT_START ""F1_Delta"" "121" leaves="35
"S05_COEFFICIENT_START ""F1_Delta"" "122" leaves="913
"S05_COEFFICIENT_START ""F1_Delta"" "123" leaves="618
"S05_COEFFICIENT_START ""F1_Delta"" "124" leaves="1081
"S05_COEFFICIENT_START ""F1_Delta"" "125" leaves="121
"S05_COEFFICIENT_START ""F1_Delta"" "126" leaves="10148
"S05_COEFFICIENT_START ""F1_Delta"" "127" leaves="2727
"S05_COEFFICIENT_START ""F1_Delta"" "128" leaves="158
"S05_COEFFICIENT_START ""F1_Delta"" "129" leaves="157
"S05_COEFFICIENT_START ""F1_Delta"" "130" leaves="360
"S05_COEFFICIENT_START ""F1_Delta"" "131" leaves="2294
"S05_COEFFICIENT_START ""F1_Delta"" "132" leaves="1371
"S05_COEFFICIENT_START ""F1_Delta"" "133" leaves="6514
"S05_COEFFICIENT_START ""F1_Delta"" "134" leaves="1342
"S05_COEFFICIENT_START ""F1_Delta"" "135" leaves="1372
"S05_COEFFICIENT_START ""F1_Delta"" "136" leaves="557
"S05_COEFFICIENT_START ""F1_Delta"" "137" leaves="630
"S05_COEFFICIENT_START ""F1_Delta"" "138" leaves="2860
"S05_COEFFICIENT_START ""F1_Delta"" "139" leaves="14
"S05_COEFFICIENT_START ""F1_Delta"" "140" leaves="82
"S05_COEFFICIENT_START ""F1_Delta"" "141" leaves="156
"S05_COEFFICIENT_START ""F1_Delta"" "142" leaves="82
"S05_COEFFICIENT_START ""F1_Delta"" "143" leaves="82
"S05_COEFFICIENT_START ""F1_Delta"" "144" leaves="82
"S05_COEFFICIENT_START ""F1_Delta"" "145" leaves="217
"S05_COEFFICIENT_START ""F1_Delta"" "146" leaves="191
"S05_COEFFICIENT_START ""F1_Delta"" "147" leaves="217
"S05_COEFFICIENT_START ""F1_Delta"" "148" leaves="687
"S05_COEFFICIENT_START ""F1_Delta"" "149" leaves="1081
"S05_COEFFICIENT_START ""F1_Delta"" "150" leaves="4028
"S05_COEFFICIENT_START ""F1_Delta"" "151" leaves="1848
"S05_COEFFICIENT_START ""F1_Delta"" "152" leaves="1211
"S05_COEFFICIENT_START ""F1_Delta"" "153" leaves="3923
"S05_COEFFICIENT_START ""F1_Delta"" "154" leaves="1328
"S05_COEFFICIENT_START ""F1_Delta"" "155" leaves="123
"S05_COEFFICIENT_START ""F1_Delta"" "156" leaves="281
"S05_COEFFICIENT_START ""F1_Delta"" "157" leaves="159
"S05_COEFFICIENT_START ""F1_Delta"" "158" leaves="82
"S05_COEFFICIENT_START ""F1_Delta"" "159" leaves="82
"S05_COEFFICIENT_START ""F1_Delta"" "160" leaves="361
"S05_COEFFICIENT_START ""F1_Delta"" "161" leaves="1187
"S05_COEFFICIENT_START ""F1_Delta"" "162" leaves="1992
"S05_COEFFICIENT_START ""F1_Delta"" "163" leaves="5967
"S05_COEFFICIENT_START ""F1_Delta"" "164" leaves="2708
"S05_COEFFICIENT_START ""F1_Delta"" "165" leaves="1314
"S05_COEFFICIENT_START ""F1_Delta"" "166" leaves="2417
"S05_COEFFICIENT_START ""F1_Delta"" "167" leaves="5956
"S05_COEFFICIENT_START ""F1_Delta"" "168" leaves="156
"S05_COEFFICIENT_START ""F1_Delta"" "169" leaves="157
"S05_COEFFICIENT_START ""F1_Delta"" "170" leaves="1170
"S05_COEFFICIENT_START ""F1_Delta"" "171" leaves="1633
"S05_COEFFICIENT_START ""F1_Delta"" "172" leaves="1694
"S05_COEFFICIENT_START ""F1_Delta"" "173" leaves="164
"S05_COEFFICIENT_START ""F1_Delta"" "174" leaves="140
"S05_COEFFICIENT_START ""F1_Delta"" "175" leaves="640
"S05_COEFFICIENT_START ""F1_Delta"" "176" leaves="82
"S05_COEFFICIENT_START ""F1_Delta"" "177" leaves="82
"S05_COEFFICIENT_START ""F1_Delta"" "178" leaves="82
"S05_COEFFICIENT_START ""F1_Delta"" "179" leaves="217
"S05_COEFFICIENT_START ""F1_Delta"" "180" leaves="282
"S05_COEFFICIENT_START ""F1_Delta"" "181" leaves="12459
"S05_COMPACT_DONE ""F1_Delta"" rational_checks="181" leaves="30618
"S05_OPTIMIZE ""Hqg_v3_F1_Delta_m1"" leaves="30618
"S05_EXPORTED ""Hqg_v3_F1_Delta_m1"" optimized="14746
"S05_PREPARE ""Hqg_v3_F1_L0_m1"" leaves="23215
"S05_COMPACT_START ""F1_L0"" atoms="15" leaves="11407
"S05_COEFFICIENT_START ""F1_L0"" "1" leaves="567
"S05_COEFFICIENT_START ""F1_L0"" "2" leaves="2200
"S05_COEFFICIENT_START ""F1_L0"" "3" leaves="413
"S05_COEFFICIENT_START ""F1_L0"" "4" leaves="130
"S05_COEFFICIENT_START ""F1_L0"" "5" leaves="333
"S05_COEFFICIENT_START ""F1_L0"" "6" leaves="135
"S05_COEFFICIENT_START ""F1_L0"" "7" leaves="2352
"S05_COEFFICIENT_START ""F1_L0"" "8" leaves="2356
"S05_COEFFICIENT_START ""F1_L0"" "9" leaves="156
"S05_COEFFICIENT_START ""F1_L0"" "10" leaves="572
"S05_COEFFICIENT_START ""F1_L0"" "11" leaves="123
"S05_COEFFICIENT_START ""F1_L0"" "12" leaves="157
"S05_COEFFICIENT_START ""F1_L0"" "13" leaves="82
"S05_COEFFICIENT_START ""F1_L0"" "14" leaves="442
"S05_COEFFICIENT_START ""F1_L0"" "15" leaves="82
