"s12","s13","s23","u1","u2","u3","Q2","madgraph_azimuthal_average","local_projected_matrix_element","signed_difference","relative_difference"
320098.36451559124,152674.67640211407,45934.40773137336,-261140.35348658703,-293418.6586678999,-82625.80308968987,118477.36659509763,1.58296678876495e-9,1.5829667887649552e-9,5.169878828456423e-24,"3.2659427002192563e-15"
280003.888028863,155116.72589724045,134367.09483384129,-157426.82340336175,-420916.77973891573,-96787.99395036476,105643.88833269764,1.0120088418967832e-9,1.0120088418967796e-9,-3.5155176033503676e-24,"3.473801273081093e-15"
117615.16296346505,286541.5899620806,79174.62763353463,-116084.40044648819,-81077.99490559066,-519259.7527000263,233090.7674930251,3.439532870345431e-10,3.4395328703454257e-10,-5.169878828456423e-25,"1.503075860396477e-15"
274596.0958718222,69809.853045745,151788.0226118524,-467226.15663421847,-360703.7358443961,-51815.0240113255,383550.9449605199,6.877794079683154e-10,6.877794079683172e-10,1.7577588016751838e-24,"2.5557014084901997e-15"
186544.9824964144,19206.72624560441,91207.39915582974,-240296.12258760538,-137913.95081637878,-87603.84784508313,168854.81335121882,9.730303668219295e-9,9.7303036682193e-9,4.963083675318166e-24,"5.100646233198638e-16"
182336.91897982653,372896.03292594745,63121.30283475574,-124947.54352420167,-196356.92283221683,-400870.98795018415,103821.19956607293,6.044746740340214e-10,6.044746740340228e-10,1.4475660719677984e-24,"2.3947505729352063e-15"
222928.8429296041,161319.28259597672,73010.08747569789,-221796.12727424662,-471108.93919714395,-99385.73886233583,335032.592332448,4.2314826217084384e-10,4.23148262170842e-10,-1.8611563782443123e-24,"4.3983552447933256e-15"
59464.749923978176,110391.59168774539,131379.68878205676,-26195.59230000274,-218002.98553178826,-211079.40564066768,154041.95307867829,6.062237921963542e-9,6.062237921963536e-9,-5.790264287871194e-24,"9.551364302105358e-16"
283438.7941598517,306281.76113900525,107226.92244533362,-231566.94202659218,-504758.4846028907,-231232.32743373385,270610.2763190263,1.1373511269345619e-10,1.137351126934569e-10,7.108583389127582e-25,"6.250122078207193e-15"
27768.443841143482,39495.48801103711,401505.0608838424,-39545.04167307305,-466811.2552680277,-279403.36602698057,316990.67023205815,4.1903875733027334e-9,4.190387573302734e-9,8.271806125530277e-25,"0"
65104.48977507153,245482.26004066083,287252.4799654555,-243766.92306867038,-441007.31970685074,-211096.48729923985,298031.50029357313,2.13951023964859e-10,2.139510239648608e-10,1.783608195817466e-24,"8.336525634532157e-15"
121261.3691641347,199380.03350665173,146085.06492894495,-266918.2578692576,-432773.8817985876,-122495.63782009596,355461.3098882098,2.5481209619485386e-10,2.548120961948536e-10,-2.5849394142282115e-25,"1.0144492560712337e-15"
65502.50481306523,293689.67742478213,282494.1193201203,-350163.2840491306,-163226.96178483032,-430821.7387031564,302525.68297914945,8.892497876798238e-11,8.892497876798302e-11,6.462348535570529e-25,"7.26719154179575e-15"
214343.797070051,83986.13690262154,334545.6355470065,-281058.4355148172,-413483.2332385707,-70153.51993134666,131819.61916505522,1.3193265016782299e-9,1.319326501678228e-9,-1.8611563782443123e-24,"1.410686722260832e-15"
52429.909142437464,172093.76508435296,101390.68481347039,-165804.71228539804,-126076.06111182336,-375132.1088701952,341098.52322715666,3.7074829271439237e-10,3.7074829271439563e-10,3.2570236619275465e-24,"8.784999758411782e-15"
82543.43043092257,173305.08711881415,297707.09870345844,-148063.5138770416,-124918.21959511389,-565560.8934297013,284987.0106486614,1.9301420105053505e-10,1.9301420105053503e-10,-2.5849394142282115e-26,"0"
222527.93355542613,238030.21290298871,37225.935164881026,-559744.8834701206,-140641.03624569817,-100098.21526452723,302700.0533570497,2.6129267609644797e-10,2.612926760964482e-10,2.0679515313825692e-25,"7.914311117619111e-16"
84218.91436187927,158485.5444504585,52951.66545893357,-72520.9933832434,-241377.3506649367,-333462.0843097493,351704.30408665806,1.153067724650051e-9,1.1530677246500477e-9,-3.308722450212111e-24,"2.8694953292672273e-15"
348585.0505639681,46886.11492242683,195706.20857775817,-54144.81978916242,-534405.2395844202,-118614.81676561391,115987.50207504335,4.013836434382954e-9,4.013836434382967e-9,1.3234889800848443e-23,"3.2973166737630143e-15"
361248.01029200474,88184.35948681974,69065.88849102843,-372962.8666851899,-282423.8666770584,-262618.12269791286,399506.5977903081,2.8705762527917067e-10,2.870576252791716e-10,9.305781891221561e-25,"3.241781813728664e-15"
39807.378230571165,572356.4065211731,85113.04884574766,-584776.7369438286,-132360.77933326745,-128565.67316459167,148426.3558441957,3.609095324169304e-10,3.609095324169243e-10,-6.100457017578579e-24,"1.6903008841925515e-14"
76867.53805234667,241562.50840436423,382294.9454149936,-71312.00010217969,-258099.32377690743,-624606.5408555794,253292.87286296237,1.9558023803830736e-10,1.9558023803830912e-10,1.7577588016751838e-24,"8.987404961286959e-15"
165707.89526824318,128194.13245673524,156268.38543446042,-292858.4629793897,-175442.71992325754,-137031.13530702924,155161.90505023752,7.215603676205437e-10,7.215603676205466e-10,2.895132143935597e-24,"4.012321454797648e-15"
277534.7213534724,168205.56730529084,157703.02658755885,-285178.5209440218,-296154.5084982917,-398823.7765233214,376713.4907193129,8.33386156933616e-11,8.333861569336377e-11,2.1713491079516976e-24,"2.6054537742035012e-14"
88219.91195522723,99086.74157856003,518078.54247649026,-201466.7866533708,-659733.5731890277,-68250.82434367557,224065.9881757968,1.4328690686077351e-9,1.4328690686077037e-9,-3.143286327701505e-23,"2.1937010132794047e-14"
131424.68268586366,55729.237240327115,139973.32012234902,-181482.31284594315,-76402.1605925933,-200731.2451522554,131488.47854225215,2.817603848683581e-9,2.8176038486835762e-9,-4.963083675318166e-24,"1.7614554571385113e-15"
126765.93086176112,302864.504082688,55984.723199030705,-439339.8110807044,-162902.7937417911,-95749.28569974515,212376.73237876044,3.560451720895999e-10,3.560451720896009e-10,9.822769774067204e-25,"2.7588549274290528e-15"
