s12,s13,s23,u1,u2,u3,Q2,madgraph_azimuthal_average
1.26007283979004598e+05,3.18802899984959629e+05,3.34727401519177365e+04,-1.27037058140994763e+05,-1.82053152971573378e+05,-2.92335735914774879e+05,1.23143022911460954e+05,1.25798115739484929e-09
2.87871370626107964e+05,1.99575304668846191e+05,2.34647998975299328e+05,-6.15862382905242266e+05,-3.03263937491550576e+05,-6.29134233899691171e+04,2.59945069516508374e+05,2.27549878659789319e-10
2.92802114559539943e+05,2.07150879742123652e+05,1.00204316320990911e+05,-2.69461227405109326e+05,-3.93221523641451378e+05,-2.82966415666176355e+05,3.45491856090082205e+05,1.16703314471805580e-10
2.93979013487323478e+05,1.44188040468592662e+05,4.28562985756154812e+04,-3.67460866760190693e+04,-3.74483508548543439e+05,-2.15567263962968049e+05,1.45773506655998819e+05,6.29960806197375630e-09
2.78145729671368434e+05,7.20196323414988001e+04,1.18173320367817360e+05,-3.26980227082772064e+05,-8.78455836393333593e+04,-2.54462737438298645e+05,2.00949865779719723e+05,6.65093489938143498e-10
2.13484035468237358e+05,9.07121600147399586e+04,4.08391356468380196e+05,-1.11443637177703771e+05,-3.50295369837580482e+05,-3.52041014687034767e+05,1.01192469750961885e+05,8.04138091468157335e-10
1.63851857563455822e+05,3.02895826487075712e+05,4.67776683282931335e+04,-4.04580573960311827e+05,-1.63201698239723919e+05,-1.52835779334224062e+05,2.07092699155435286e+05,2.76114157091087971e-10
5.74252739100418112e+04,2.24676035865394748e+05,2.05087587481552619e+05,-1.24712480175632183e+05,-2.13538472886373667e+05,-4.77286107798764948e+05,3.28348163603781490e+05,1.94906697229259907e-10
1.03091287984205119e+05,7.03807887658143300e+04,1.82674164389670652e+05,-9.78524066586239787e+04,-2.17230254952705465e+05,-3.36870047457452747e+05,2.95806467929093575e+05,9.43353459454094050e-10
2.14195506435766874e+05,5.55237243022203329e+04,4.20365836435778823e+05,-1.38743327100666007e+05,-1.92645033089291188e+05,-4.58344734521789476e+05,9.96480275379807717e+04,1.25042452767147233e-09
3.14890407229110860e+04,4.41947703044101887e+05,3.33580402914615988e+04,-4.52069309832461644e+05,-5.16094356520716101e+04,-1.11597622750890470e+05,1.08481584176949633e+05,1.24833995910746683e-09
2.19420562349375512e+05,2.63039665287073178e+05,5.05591974329660006e+04,-2.24921177157090366e+05,-2.22307208661030279e+05,-4.22611784464748634e+05,3.36820745213455346e+05,1.89379684887918489e-10
1.10730847604933748e+05,9.06657286387159838e+04,3.75765046013387968e+05,-1.80558474291378952e+05,-1.47876815158761776e+05,-3.75348849051847996e+05,1.26622516244951039e+05,8.60967633440120261e-10
1.90591252551002020e+05,8.97900674656573392e+04,6.15026309928632400e+04,-2.37250292472251982e+05,-1.60758311651209166e+05,-2.09089031377407955e+05,2.65213684491346532e+05,9.03122735055804254e-10
1.09143081972333108e+05,5.43818513439865317e+05,5.41506203230943938e+04,-4.90548283293281216e+05,-1.90157613991181133e+05,-2.30842777072052442e+05,2.04436458621222060e+05,9.92780953560763712e-11
2.47411525541825322e+04,1.98238712122846599e+05,2.25719595193835703e+05,-3.98835352174076543e+04,-1.78936843836808112e+05,-4.83475601945997041e+05,2.53596521129347995e+05,8.42686304759488235e-10
3.49283908367168100e+05,1.84828785710064054e+05,1.38399187357317773e+05,-1.41377340745090914e+05,-4.54781025708407920e+05,-3.87817939494542079e+05,3.11464424513490871e+05,1.71373370464886974e-10
4.03972674993396911e+05,2.88582908901369956e+05,4.14109879781397758e+04,-3.95941282613586402e+05,-2.09415373070637579e+05,-2.96258745378638210e+05,1.67648829189955839e+05,2.75057015028195557e-10
6.39248939759016721e+04,1.82299921001272131e+05,3.42410382108152320e+05,-2.76224709285718855e+05,-1.71954925637316366e+05,-2.69518330433613562e+05,1.29062768271322551e+05,6.20867804624754882e-10
4.90396863399038499e+05,6.87038172053419403e+04,1.14533538940739119e+05,-6.08240073906839127e+05,-6.99790956574392185e+04,-2.18144425936499465e+05,2.22729375955658208e+05,4.12710689842837066e-10
5.90468330472335801e+04,7.79392205807259306e+04,2.55009645070845669e+05,-1.80475178235058789e+05,-3.75721574784087541e+05,-3.20101983703943479e+04,1.96211252690735506e+05,8.09589901094634846e-09
6.45035584841383679e+04,3.32102760417383164e+05,1.50336560175484163e+05,-2.37001562062995828e+05,-1.94768452206131798e+05,-3.14392137662198103e+05,1.99219272854320239e+05,2.02316375793728821e-10
1.11073741220935422e+05,1.58304197676344484e+05,4.57803170508261537e+04,-2.97422408103565918e+05,-9.90606984786908142e+04,-5.06709181868140076e+04,1.31995768820964469e+05,3.06181551137479252e-09
6.41212232782519422e+04,2.93416871907815977e+05,1.63394376463072549e+05,-1.27352123999245581e+05,-2.97725433058259718e+05,-3.71885744037948141e+05,2.76030829446313146e+05,1.96448426274992098e-10
1.22022653509754920e+05,1.81169428350904287e+05,2.70631537868898944e+05,-2.29567682661809551e+05,-3.57842444562151039e+05,-7.92282919317084306e+04,9.28147994261106505e+04,1.31212041218801450e-09
2.46683634926206840e+05,3.36381407771380735e+05,1.60471836158322083e+05,-4.35638401325897605e+05,-1.12973068136195929e+05,-2.85812840508779394e+05,9.08874311149635469e+04,1.73180014938455209e-10
5.07465009780292225e+05,3.77728746521287976e+04,6.90805532914350915e+04,-1.05086324324485817e+05,-6.36930980282147997e+05,-5.78584379635684600e+04,1.85557304846346145e+05,5.50690343886969998e-09
3.12248618433773809e+04,5.73269951378190890e+04,3.26647160987261450e+05,-6.08178048874884844e+04,-1.36147993760503712e+05,-3.59590474815546186e+05,1.41357255495080608e+05,5.88146311124205478e-09
2.38222166020546225e+05,2.75969345388032845e+05,4.67307445363454171e+04,-1.74965571689350472e+05,-4.05682837711943721e+05,-3.38539452157566033e+05,3.58265605613936088e+05,2.40224931536624797e-10
2.39846413929950097e+05,2.72246940787494532e+05,1.00794568601838691e+05,-5.12091370273377921e+05,-1.29987285348848556e+05,-1.30961518883068566e+05,1.60152251186011650e+05,2.39846505804306118e-10
4.50119238240830018e+04,3.37084991068424948e+05,1.30275145134797320e+05,-5.86283439306474174e+05,-1.69294633591366495e+05,-8.97377469427218020e+04,3.32943759813256795e+05,3.80391861914908001e-10
1.27274021815106593e+05,1.82443113736450323e+05,3.84744882910418499e+05,-2.42025951796373411e+05,-6.18160156609188707e+04,-4.77267400060145184e+05,8.66473490554622258e+04,4.24370686842330838e-10
2.98437367742609524e+05,3.41710973435384047e+05,3.44280225863364467e+04,-7.53659687272437441e+04,-3.68091296661967353e+05,-5.14772122748783499e+05,2.83653024373664521e+05,6.40429278130489023e-10
