"s12","s13","s23","u1","u2","u3","Q2","madgraph_azimuthal_average","local_projected_matrix_element","signed_difference","relative_difference"
62948.22745101985,140515.71444944834,324028.14818938484,-275116.0947948503,-104881.27113952211,-510699.09423837974,363204.37008289876,2.143894806195367e-11,2.143894806195361e-11,-5.816113682013476e-26,"2.7128726956221148e-15"
108498.76585582364,91721.54458159606,421363.8419016672,-229364.17760587906,-307665.21882704826,-354897.3306287891,270342.5747226296,2.1993665880743745e-11,2.199366588074374e-11,-6.462348535570529e-27,"2.938277125155634e-16"
191926.11904433992,213470.08707986912,131670.7774009763,-89165.98162192518,-180074.09772152072,-478880.8444813109,211053.94029957184,2.3622524950516536e-10,2.3622524950516505e-10,-3.101927297073854e-25,"1.3131226672727152e-15"
224409.04982165073,98646.6480572304,241034.549303316,-72128.97116911065,-445293.7395457241,-331918.4180177937,285250.8815504313,8.049982931089837e-11,8.049982931089849e-11,1.1632227364026952e-25,"1.4450002520007977e-15"
154500.53503120225,403766.583036019,90816.7356062007,-169580.53398621824,-226446.5183706588,-520669.35737108457,267612.55605453963,3.0071124458829003e-11,3.0071124458828945e-11,-5.816113682013476e-26,"1.9341191214769627e-15"
212527.94648877234,305017.78227157105,100651.12699711458,-586925.6630855572,-162929.60778264544,-171892.55952713444,303550.9746378789,6.911122399365719e-12,6.911122399365693e-12,-2.5849394142282115e-26,"3.740259924300355e-15"
162243.38004605914,441300.15643544943,110907.2190377491,-720079.0942227943,-49140.14610319173,-199509.63892948232,254278.12373621092,1.1048006150522078e-11,1.1048006150522096e-11,1.7771458472818954e-26,"1.6085670328830444e-15"
39916.17793083892,164765.7286090986,350088.49487582437,-223284.21759044938,-222698.90018723207,-204446.11176097838,95658.82812289806,2.1396117671669752e-10,2.1396117671669793e-10,4.1359030627651384e-25,"1.933015664912617e-15"
43099.42797545633,373929.49615490466,192837.1997207709,-154588.07266329642,-273606.03209011623,-542890.049376445,361218.03027872543,2.2470702811605e-11,2.2470702811604972e-11,-2.908056841006738e-26,"1.294154822565172e-15"
494983.4823698464,39249.77196539787,55294.135593064886,-387475.37632135075,-231010.11238532953,-70641.65824987661,99599.75702824758,1.3871971509760021e-10,1.387197150976003e-10,7.754818242684634e-26,"5.59027838056653e-16"
287695.5100986447,79037.39495092987,337220.62471795373,-103256.31364382035,-712742.9455002642,-154482.18170387647,266527.9110804322,5.0108816078606253e-11,5.010881607860627e-11,1.9387045606711586e-26,"3.8689889572124205e-16"
110122.81114577338,495136.9143191733,125818.50285611558,-361710.0319574378,-256588.36206521036,-221900.8436327939,109121.00933437995,6.612640654735623e-11,6.612640654735613e-11,-1.0339757656912846e-25,"1.5636351945887244e-15"
57292.0308196205,512939.72223739466,103245.49913893311,-569007.7239064277,-58310.5040118382,-204369.08341468975,158210.05913700728,3.56707159694813e-11,3.567071596948127e-11,-2.5849394142282115e-26,"7.246670956758483e-16"
320098.36451559124,152674.67640211407,45934.40773137336,-261140.35348658703,-293418.6586678999,-82625.80308968987,118477.36659509763,1.226957196116646e-10,1.2269571961166487e-10,2.8434333556510326e-25,"2.317467442752341e-15"
280003.888028863,155116.72589724045,134367.09483384129,-157426.82340336175,-420916.77973891573,-96787.99395036476,105643.88833269764,2.5045462002035144e-10,2.5045462002035144e-10,0,"0"
117615.16296346505,286541.5899620806,79174.62763353463,-116084.40044648819,-81077.99490559066,-519259.7527000263,233090.7674930251,2.1837056322277283e-10,2.1837056322277299e-10,1.550963648536927e-25,"7.102439200812499e-16"
274596.0958718222,69809.853045745,151788.0226118524,-467226.15663421847,-360703.7358443961,-51815.0240113255,383550.9449605199,1.5087154806935992e-11,1.508715480693608e-11,8.724170523020214e-26,"5.782515414377146e-15"
186544.9824964144,19206.72624560441,91207.39915582974,-240296.12258760538,-137913.95081637878,-87603.84784508313,168854.81335121882,4.33790064826471e-10,4.3379006482647125e-10,2.5849394142282115e-25,"5.95896407923096e-16"
182336.91897982653,372896.03292594745,63121.30283475574,-124947.54352420167,-196356.92283221683,-400870.98795018415,103821.19956607293,3.549205888215584e-10,3.5492058882155755e-10,-8.788794008375919e-25,"2.4762705476054015e-15"
222928.8429296041,161319.28259597672,73010.08747569789,-221796.12727424662,-471108.93919714395,-99385.73886233583,335032.592332448,4.311055381168214e-11,4.311055381168201e-11,-1.2924697071141057e-25,"2.9980354990565465e-15"
59464.749923978176,110391.59168774539,131379.68878205676,-26195.59230000274,-218002.98553178826,-211079.40564066768,154041.95307867829,3.3579368599825702e-9,3.3579368599825624e-9,-7.858215819253763e-24,"2.340191655448385e-15"
283438.7941598517,306281.76113900525,107226.92244533362,-231566.94202659218,-504758.4846028907,-231232.32743373385,270610.2763190263,2.1383734321955243e-11,2.138373432195524e-11,-3.2311742677852644e-27,"0"
27768.443841143482,39495.48801103711,401505.0608838424,-39545.04167307305,-466811.2552680277,-279403.36602698057,316990.67023205815,6.326948704120993e-10,6.326948704120991e-10,-2.0679515313825692e-25,"3.2684815826555225e-16"
65104.48977507153,245482.26004066083,287252.4799654555,-243766.92306867038,-441007.31970685074,-211096.48729923985,298031.50029357313,3.3920986252713853e-11,3.392098625271378e-11,-7.108583389127582e-26,"2.0956299254296765e-15"
121261.3691641347,199380.03350665173,146085.06492894495,-266918.2578692576,-432773.8817985876,-122495.63782009596,355461.3098882098,3.2117208906592076e-11,3.211720890659214e-11,6.462348535570529e-26,"2.0121139898442776e-15"
